rule_collection_name,action,priority,rule_name,description,source_addresses,source_ip_groups,destination_addresses,destination_fqdns,destination_fqdn_tags,destination_urls,web_categories,terminate_tls,destination_ports,protocols,http_headers
ar-internet,Allow,30000,http-80,http,,"/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-svc-mdp,/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-vms-diagnostic,/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-vms-jumpbox,/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-svc-aks",,*,,,,FALSE,80,Http,
ar-internet,Allow,30000,https-443,https,,"/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-svc-mdp,/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-vms-diagnostic,/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-vms-jumpbox,/subscriptions/6e71165a-aad7-4b08-ba1b-628e397e4b18/resourceGroups/rg-prd-nteu-firewall/providers/Microsoft.Network/ipGroups/ipg-prd-nteu-svc-aks",,*,,,,FALSE,443,Https,
